name,native,rtl,country_code
Afar,Afar,,aa
Abkhazian,Аҧсуа,,ab
Afrikaans,Afrikaans,,af
Akan,Akana,,ak
Amharic,አማርኛ,,am
Aragonese,Aragonés,,an
Arabic,العربية,1.0,ar
Assamese,অসমীয়া,,as
Avar,Авар,,av
Aymara,Aymar,,ay
Azerbaijani,Azərbaycanca / آذربايجان,,az
Bashkir,Башҡорт,,ba
Belarusian,Беларуская,,be
Bulgarian,Български,,bg
Bihari,भोजपुरी,,bh
Bislama,Bislama,,bi
Bambara,Bamanankan,,bm
Bengali,বাংলা,,bn
Tibetan,བོད་ཡིག / Bod skad,,bo
Breton,Brezhoneg,,br
Bosnian,Bosanski,,bs
Catalan,Català,,ca
Chechen,Нохчийн,,ce
Chamorro,Chamoru,,ch
Corsican,Corsu,,co
Cree,Nehiyaw,,cr
Czech,Čeština,,cs
Old Church Slavonic / Old Bulgarian,словѣньскъ / slověnĭskŭ,,cu
Chuvash,Чăваш,,cv
Welsh,Cymraeg,,cy
Danish,Dansk,,da
German,Deutsch,,de
Divehi,ދިވެހިބަސް,1.0,dv
Dzongkha,ཇོང་ཁ,,dz
Ewe,Ɛʋɛ,,ee
Greek,Ελληνικά,,el
English,English,,en
Esperanto,Esperanto,,eo
Spanish,Español,,es
Estonian,Eesti,,et
Basque,Euskara,,eu
Persian,فارسی,1.0,fa
Peul,Fulfulde,,ff
Finnish,Suomi,,fi
Fijian,Na Vosa Vakaviti,,fj
Faroese,Føroyskt,,fo
French,Français,,fr
West Frisian,Frysk,,fy
Irish,Gaeilge,,ga
Scottish Gaelic,Gàidhlig,,gd
Galician,Galego,,gl
Guarani,Avañe'ẽ,,gn
Gujarati,ગુજરાતી,,gu
Manx,Gaelg,,gv
Hausa,هَوُسَ,1.0,ha
Hebrew,עברית,1.0,he
Hindi,हिन्दी,,hi
Hiri Motu,Hiri Motu,,ho
Croatian,Hrvatski,,hr
Haitian,Krèyol ayisyen,,ht
Hungarian,Magyar,,hu
Armenian,Հայերեն,,hy
Herero,Otsiherero,,hz
Interlingua,Interlingua,,ia
Indonesian,Bahasa Indonesia,,id
Interlingue,Interlingue,,ie
Igbo,Igbo,,ig
Sichuan Yi,ꆇꉙ / 四川彝语,,ii
Inupiak,Iñupiak,,ik
Ido,Ido,,io
Icelandic,Íslenska,,is
Italian,Italiano,,it
Inuktitut,ᐃᓄᒃᑎᑐᑦ,,iu
Japanese,日本語,,ja
Javanese,Basa Jawa,,jv
Georgian,ქართული,,ka
Kongo,KiKongo,,kg
Kikuyu,Gĩkũyũ,,ki
Kuanyama,Kuanyama,,kj
Kazakh,Қазақша,,kk
Greenlandic,Kalaallisut,,kl
Cambodian,ភាសាខ្មែរ,,km
Kannada,ಕನ್ನಡ,,kn
Korean,한국어,,ko
Kanuri,Kanuri,,kr
Kashmiri,कश्मीरी / كشميري,1.0,ks
Kurdish,Kurdî / كوردی,1.0,ku
Komi,Коми,,kv
Cornish,Kernewek,,kw
